"","Genotype","DP_2015","DP_2017","DP_2018","DP_2019","DP_2015_2017","DP_2015_2018","DP_2015_2019"
"SSD02065",290,43.435826857246,35.1670163002671,117.135547419805,55.1968270571827,39.125,65.1349372384937,62.6796548117155
"SSD02069",291,43.435826857246,75.1670163002671,97.1355474198047,75.1968270571827,59.125,71.8016039051604,72.6796548117155
"SSD02071",292,3.43582685724602,115.167016300267,77.1355474198047,75.1968270571827,59.125,65.1349372384937,67.6796548117155
"SSD02072",293,23.435826857246,75.1670163002671,117.135547419805,115.196827057183,49.125,71.8016039051604,82.6796548117155
"SSD060015",294,43.435826857246,95.1670163002671,97.1355474198047,115.196827057183,69.125,78.4682705718271,87.6796548117155
"SSD060040",295,63.435826857246,95.1670163002671,117.135547419805,115.196827057183,79.125,91.8016039051604,97.6796548117155
"SSD060061",296,63.435826857246,115.167016300267,77.1355474198047,95.1968270571827,89.125,85.1349372384937,87.6796548117155
"SSD060252",297,63.435826857246,95.1670163002671,97.1355474198047,95.1968270571827,79.125,85.1349372384937,87.6796548117155
"SSD060256",298,83.435826857246,115.167016300267,57.1355474198047,75.1968270571827,99.125,85.1349372384937,82.6796548117155
"SSD060443",299,-23.0441847868141,88.3117161411677,117.135547419805,95.1968270571827,32.5423728813559,60.746519159398,69.3883412523938
"SSD060530",300,103.435826857246,115.167016300267,97.1355474198047,55.1968270571827,109.125,105.134937238494,92.6796548117155
"SSD060535",301,103.435826857246,95.1670163002671,57.1355474198047,35.1968270571827,99.125,85.1349372384937,72.6796548117155
"STEPHENS",302,109.983445904865,97.071778205029,37.9272140864714,39.280160390516,103.4375,81.5943165969316,70.9865324267782
"TUBBS",303,109.983445904865,77.071778205029,17.9272140864714,39.280160390516,93.4375,68.2609832635983,60.9865324267782
"TUBBS06",304,-3.46893504751587,74.4527305859814,77.9272140864714,79.280160390516,35.25,49.4693165969317,56.892782426778
"V/W-29",305,63.435826857246,115.167016300267,57.1355474198047,55.1968270571827,89.125,78.4682705718271,72.6796548117155
"V/W-30",306,43.435826857246,95.1670163002671,97.1355474198047,55.1968270571827,69.125,78.4682705718271,72.6796548117155
"V/W-32",307,43.435826857246,95.1670163002671,57.1355474198047,55.1968270571827,69.125,65.1349372384937,62.6796548117155
"V/W-46",308,63.435826857246,75.1670163002671,97.1355474198047,55.1968270571827,69.125,78.468270571827,72.6796548117155
"V/W-51",309,83.435826857246,115.167016300267,37.1355474198047,55.1968270571827,99.125,78.4682705718271,72.6796548117155
"V096408",310,63.435826857246,95.1670163002671,97.1355474198047,115.196827057183,79.125,85.1349372384937,92.6796548117155
"VO95010",311,138.673922095341,98.0241591574099,57.1355474198047,55.1968270571827,118.875,98.3016039051604,87.5546548117154
"VO96406",312,78.6739220953412,118.02415915741,97.1355474198047,75.1968270571827,98.875,98.3016039051604,92.5546548117154
"VO96410",313,38.6739220953412,98.0241591574099,97.1355474198047,-4.80317294281729,68.875,78.3016039051604,57.5546548117154
"VO96511",314,58.6739220953412,98.0241591574099,117.135547419805,75.1968270571827,78.875,91.6349372384937,87.5546548117154
"WA7918",315,109.983445904865,97.071778205029,37.9272140864714,79.280160390516,103.4375,81.5943165969316,80.9865324267782
"WA7932",316,109.983445904865,77.071778205029,37.9272140864714,59.280160390516,93.4375,74.9276499302649,70.9865324267782
"WA7933",317,89.9834459048651,77.071778205029,77.9272140864714,99.280160390516,83.4375,81.5943165969316,85.9865324267782
"WA7934",318,109.983445904865,97.071778205029,57.9272140864714,79.280160390516,103.4375,88.2609832635983,85.9865324267782
"WA7935",319,109.983445904865,97.071778205029,77.9272140864714,59.280160390516,103.4375,94.927649930265,85.9865324267782
"WA7935C",320,109.983445904865,77.071778205029,57.9272140864714,39.280160390516,93.4375,81.5943165969316,70.9865324267782
"WA7965",321,109.983445904865,97.071778205029,57.9272140864714,79.280160390516,103.4375,88.2609832635983,85.9865324267782
"WA7970",322,89.9834459048651,97.071778205029,57.9272140864714,19.280160390516,93.4375,81.5943165969316,65.9865324267782
"WA7971",323,109.983445904865,97.071778205029,77.9272140864714,19.280160390516,103.4375,94.927649930265,75.9865324267782
"WA8000",324,109.983445904865,117.071778205029,77.9272140864714,19.280160390516,113.4375,101.594316596932,80.9865324267782
"WA8020",325,89.7523794784493,106.391942809183,77.9272140864714,-20.719839609484,97.6190476190476,91.0486816762968,63.0773062363021
"WA8021",326,49.7523794784493,106.391942809183,97.9272140864714,79.280160390516,77.6190476190476,84.3820150096301,83.0773062363021
"WA8063",327,89.7523794784493,106.391942809183,77.9272140864714,19.280160390516,97.6190476190476,91.0486816762968,73.0773062363021
"WA8064",328,89.7523794784493,86.3919428091834,77.9272140864714,99.280160390516,87.6190476190476,84.3820150096301,88.0773062363021
"WA8064-55",329,56.9558152131859,108.311716141168,97.1355474198047,55.1968270571827,82.5423728813559,87.4131858260647,79.3883412523931
"WA8065",330,89.7523794784493,106.391942809183,57.9272140864714,79.280160390516,97.6190476190476,84.3820150096301,83.0773062363021
"WA8066",331,29.7523794784493,106.391942809183,97.9272140864714,99.280160390516,67.6190476190476,77.7153483429634,83.0773062363021
"WA8092",332,109.752379478449,106.391942809183,57.9272140864714,119.280160390516,107.619047619048,91.0486816762968,98.0773062363021
"WA8093",333,69.7523794784493,66.3919428091834,77.9272140864714,79.280160390516,67.6190476190476,71.0486816762968,73.0773062363021
"WA8094",334,69.7523794784493,86.3919428091834,77.9272140864714,79.280160390516,77.6190476190476,77.7153483429634,78.0773062363021
"WA8114",335,29.7523794784493,86.3919428091834,77.9272140864714,99.280160390516,57.6190476190476,64.3820150096301,73.0773062363021
"WA8115",336,49.7523794784493,86.3919428091834,57.9272140864714,59.280160390516,67.6190476190476,64.3820150096301,63.0773062363021
"WA8116",337,29.7523794784493,106.391942809183,77.9272140864714,79.280160390516,67.6190476190476,71.0486816762968,73.0773062363021
"WA8117",338,49.7523794784493,106.391942809183,77.9272140864714,39.280160390516,77.6190476190476,77.7153483429634,68.0773062363021
"WA8134",339,89.7523794784493,86.3919428091834,57.9272140864714,79.280160390516,87.6190476190476,77.7153483429634,78.0773062363021
"WA8135",340,89.7523794784493,86.3919428091834,77.9272140864714,39.280160390516,87.6190476190476,84.3820150096301,73.0773062363021
"WA8137",341,-21.3260779046588,78.0241591574099,117.135547419805,35.1968270571827,28.875,58.3016039051604,52.5546548117154
